Country Name,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average
Caribbean small states,CSS,96.03599651,95.66768622,95.75782823,95.55581397,95.67720015,95.54890362,95.24556162,95.65329129,95.22254796,78.32422446,93.78304838,94.27459011,94.26527033,94.12479015,94.37856994,94.91917317,94.56333523,95.53296224,95.90112139,94.64854451,95.62352157,96.39054312,96.79430727,86.56211106,87.54199013,88.48887803,88.89179662,97.01075123,96.79487151,97.33297609,97.17518204,96.93591366,96.94117852,96.90434258,94.24908303
Cuba,CUB,69.34349856,68.95647133,71.02880291,69.22029714,70.19237962,69.26150721,70.20716661,68.75744941,67.17849921,61.68943237,59.47544771,54.9412599,61.61673999,62.83147458,68.85471624,66.95607493,68.90243617,71.65304375,70.47882818,70.90016328,69.7332787,72.62938506,75.27021054,75.43884757,81.0269063,84.23232078,84.97962141,86.92784489,87.26589083,89.88459214,87.59646004,87.46447104,87.50883462,85.59641456,73.47061081
Cyprus,CYP,99.29127543,99.3027645,99.35470618,99.28565412,99.2675845,99.35269357,99.45103104,99.5024201,99.52187285,99.55043982,99.60232746,99.64979694,99.67524793,99.27721577,97.36608426,97.59309465,97.58644257,97.6772923,97.69161926,97.8604881,97.82739383,97.77565525,97.81017484,97.50079665,97.43157066,97.50689329,96.71664611,96.1058446,95.78148443,95.39065382,94.89409483,94.16552487,92.99080984,92.90621503,97.72540616
Czechia,CZE,99.72403736,99.89224581,99.87488161,99.32000947,98.35460776,96.58905688,94.20421468,93.82591985,93.40509882,91.62584689,91.7465883,90.47874402,89.70098405,88.48359884,89.26306987,89.26163926,89.55314042,88.81523707,87.93101343,89.96283546,89.02093783,86.87193923,84.24960425,83.69024338,83.67512072,82.97817308,83.06227734,81.42330557,79.65769772,80.55980081,79.28733913,77.20089283,77.18176944,75.27852225,88.41618804
Germany,DEU,92.97445558,91.96987316,91.65331348,90.06462342,87.92519035,88.65357083,87.90540584,86.91009483,86.45118434,86.83788464,87.09636477,85.95284872,86.00930916,86.02180942,85.81095471,85.90869753,84.62946066,84.92246199,83.93137164,83.62197514,83.60503302,83.27815679,83.18231409,82.56602162,81.85567627,81.27188318,81.27195016,80.80225178,79.96746885,79.56035026,80.37020876,80.62522298,81.08826801,79.71052694,84.83547597
Denmark,DNK,92.8037632,94.28114565,92.57050097,92.22414619,94.91503626,94.7566271,93.04936064,91.83152448,88.61327836,89.59051862,94.08441927,90.72488798,91.75701497,94.63847163,92.36304094,98.52626246,94.36666382,92.6766256,90.89289458,88.2800504,88.2707013,87.98990847,89.67967719,85.47478824,82.18730305,86.63662222,82.03661355,80.13136834,79.57580426,78.27422571,74.82227821,70.86237066,70.25938711,67.70455812,87.55446587
Dominican Republic,DOM,56.2235313,52.28412771,58.70973528,58.14191225,67.65284138,68.75879385,72.3935235,75.61270575,78.53943541,76.45631322,76.17839989,78.78107052,81.03756104,83.56493018,84.91800504,85.56770281,87.17742176,85.26174313,85.30557383,87.14808017,87.70129559,88.26308159,85.49507746,86.62648881,86.42435374,85.40245101,86.89827457,87.11289573,84.87242119,85.40274143,86.48453225,84.82242766,86.76671153,86.56359598,79.66322813
Algeria,DZA,99.66317471,99.70168339,99.84063911,99.68269734,99.61791368,99.80951528,99.75581647,99.89831336,99.86297207,99.93829643,,,,,99.87245929,99.8415349,99.76407728,99.71309035,99.7444924,99.81505213,99.77568248,99.74042914,99.73160646,99.73793913,99.61031383,99.74001863,99.75208391,99.82113635,99.81061946,99.84783479,99.88747563,99.85891737,99.910365,99.97791672,99.79080224
East Asia & Pacific (excluding high income),EAP,65.43811208,65.78389962,66.75674445,67.94415293,68.31926745,69.06350645,69.93846161,70.85727552,70.9382329,71.96410227,71.44935912,72.06793179,73.42362727,73.95347028,75.34927239,76.01504027,76.14940146,75.94768766,76.32184864,76.68428394,77.14802927,78.2122792,80.1321257,81.79183147,82.99371948,83.91060117,84.54844309,84.39751332,84.68017523,85.5202536,86.12799823,85.69478095,85.68097946,85.49959455,76.4912942
Early-demographic dividend,EAR,66.24525247,67.28231449,67.17879103,67.37356051,68.08271812,68.40550484,69.20655178,69.73197145,70.29494463,71.19373647,71.31681632,71.82451965,72.40467574,73.03720214,73.88446255,74.19710849,74.48672398,74.79100824,75.2384177,75.21748328,75.58610673,75.8525551,76.1853126,76.82659727,77.17107389,77.66972724,78.22968464,78.82466983,79.21596225,79.28369723,78.87501665,79.37942532,79.00253667,79.50189014,73.91170645
East Asia & Pacific,EAS,75.43414203,75.06548109,75.06475883,75.47822564,74.91536252,75.29719596,75.33150733,76.40001356,76.55935919,77.04204665,76.68828066,77.26621616,77.7750635,78.34240101,78.80392076,79.1743446,79.21677269,78.65015111,79.13821678,79.19559548,79.84971035,80.57916429,82.02433639,82.81005273,83.25583853,83.9015836,84.74013956,84.54008587,84.54991929,85.1620154,86.59731781,86.74263228,86.72373005,86.396153,79.96210984
