,Country_Name,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
4248,Libya,0.026,0.039,-0.383,-0.154,-0.01,0.121,-0.159,0.825,-0.086,0.473,0.225,-0.448,0.286,0.415,0.292,0.525,0.428,0.668,1.139,0.217,1.2,0.837,0.892,0.684,0.663,0.745,0.759,0.784,0.67,1.988,0.782,0.699,1.151,1.211
4282,Liechtenstein,0.043,0.546,0.948,-0.365,-0.329,0.387,-0.04,0.933,1.09,1.31,0.184,1.086,0.632,1.925,0.899,-0.034,0.94,1.202,0.966,1.449,1.43,1.381,1.672,0.896,0.661,0.96,1.935,1.39,1.404,0.475,1.653,1.607,0.92,2.239
4316,Lithuania,,,,,,,,,,,,1.482,0.295,0.943,1.511,-0.522,0.519,0.738,1.484,2.019,1.798,1.908,0.173,0.869,1.195,0.91,2.182,2.21,1.385,0.723,0.914,1.323,0.926,2.196
4350,Luxembourg,,,,,,,,,,,,,,,,,,,,1.636,1.412,1.369,1.67,0.994,1.112,1.338,1.923,1.262,1.168,0.303,1.321,1.244,0.553,2.452
4384,Madagascar,0.072,0.267,0.423,-0.134,0.077,-0.076,0.478,0.544,0.016,0.089,0.338,0.364,0.198,0.321,0.299,0.136,0.594,0.755,0.401,0.383,0.561,0.545,0.607,0.405,0.61,0.739,0.625,0.441,0.797,1.055,0.956,0.726,0.629,0.686
4418,Malawi,-0.142,0.037,0.919,0.29,0.036,0.251,0.622,0.754,0.211,0.675,0.232,0.629,0.097,0.282,0.827,0.636,0.715,1.046,0.352,0.815,0.668,0.851,1.027,0.892,1.474,1.014,1.101,0.539,0.705,0.996,0.717,0.942,0.68,1.013
4452,Malaysia,0.236,0.221,0.654,0.011,0.186,0.203,0.515,0.474,0.131,0.53,0.408,0.383,0.194,0.34,0.467,0.4,0.614,1.21,0.42,0.405,0.638,0.765,0.771,0.692,0.891,0.628,0.686,0.571,0.785,0.985,0.614,0.787,1.001,1.028
4486,Maldives,0.118,0.303,0.456,0.185,0.039,0.214,0.506,0.79,-0.021,0.553,0.589,0.199,0.224,0.42,0.685,0.429,0.554,0.891,0.28,0.243,0.431,0.586,0.483,0.348,0.798,0.337,0.379,0.174,0.5,0.635,0.509,0.518,0.603,0.704
4520,Mali,0.422,0.289,0.852,0.638,0.541,0.34,1.126,0.825,0.139,0.944,0.734,0.244,1.056,0.253,0.628,1.213,0.909,1.243,0.433,0.723,0.642,1.309,1.327,1.281,1.466,1.155,0.994,0.616,1.032,1.725,1.298,0.486,1.054,0.932
4554,Malta,-0.317,0.653,0.074,-0.23,0.464,0.423,0.532,1.183,0.196,1.214,0.119,0.242,0.597,1.397,0.43,0.607,1.023,0.846,1.246,1.034,1.642,0.91,1.387,0.691,0.706,1.033,1.425,1.299,1.112,1.287,1.067,1.417,1.328,1.472
4588,Marshall Islands,,,,,,,,,,,0.017,0.122,-0.032,0.26,0.081,0.177,0.104,0.085,-0.192,-0.077,0.246,0.406,0.372,0.512,0.443,0.371,0.376,0.128,0.331,0.502,0.312,0.695,0.661,0.72
4622,Martinique,0.395,0.096,0.412,-0.051,-0.097,-0.018,0.568,0.389,-0.125,0.405,0.356,0.271,0.404,0.525,0.629,0.434,0.629,1.065,0.503,0.322,0.533,0.694,0.902,0.562,0.865,0.747,0.852,0.413,0.568,1.221,0.65,0.754,0.767,0.727
4656,Mauritania,0.824,0.475,1.523,0.497,0.503,0.192,1.48,0.837,0.637,1.37,0.749,0.764,0.865,0.556,1.084,1.444,1.194,1.672,0.492,1.133,1.276,1.259,1.278,1.385,1.304,1.347,0.968,1.254,0.845,1.905,1.549,0.854,1.414,1.326
4690,Mauritius,0.15,0.226,0.238,-0.288,-0.127,0.112,0.584,0.378,-0.002,0.155,0.427,0.104,0.07,0.344,0.183,-0.089,0.475,0.718,0.103,0.02,0.381,0.28,0.571,0.191,0.261,0.171,0.362,0.088,0.718,1.012,0.826,0.603,0.688,0.724
4724,Mayotte,0.221,0.561,,-0.42,-0.084,0.065,0.458,0.446,-0.209,0.158,0.304,0.129,0.233,0.53,0.347,-0.014,0.356,0.792,0.27,0.233,0.387,0.839,0.512,0.386,0.521,0.317,0.746,0.327,0.512,0.755,0.492,0.425,0.282,0.478
4758,Mexico,0.145,0.559,0.006,-0.126,0.067,0.258,-0.162,0.131,0.445,0.226,0.233,0.055,0.299,0.678,0.776,0.536,0.464,0.698,0.611,0.586,0.505,0.677,0.827,0.305,0.743,0.877,0.434,0.505,1.029,0.246,0.973,0.882,0.723,0.827
4792,Micronesia (Federated States of),,,,,,,,,,,0.139,0.262,0.014,0.281,0.301,0.42,0.245,0.511,0.092,0.229,0.374,0.199,0.284,0.401,0.265,0.269,0.207,-0.047,0.072,0.252,0.12,0.533,0.678,0.515
4826,Midway Island,0.467,0.063,0.174,1.497,0.119,-0.274,0.317,0.758,0.24,-0.096,0.301,,,,,,,,,,,,,,,,,0.883,0.377,0.836,,2.483,1.229,
4860,Monaco,-0.061,0.552,0.487,-0.62,-0.127,0.41,0.173,0.733,0.875,1.247,0.062,0.618,0.456,1.299,0.663,0.182,1.266,0.881,0.882,1.063,1.34,0.861,1.584,0.779,0.699,1.06,1.519,0.967,1.327,0.305,1.25,1.242,0.569,1.645
4894,Mongolia,0.234,1.142,0.614,-0.338,-0.428,0.38,0.188,0.65,1.354,1.549,1.094,0.833,0.474,1.341,1.28,0.419,1.942,2.126,1.775,0.991,1.697,1.803,0.515,1.773,0.959,1.231,2.739,1.771,1.41,0.325,0.773,0.246,1.027,1.867
4928,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,1.781,1.339,1.297,1.267,1.036,1.712,1.515,1.605
4962,Montserrat,0.579,0.183,0.45,-0.049,-0.111,-0.094,0.571,0.309,-0.164,0.367,0.485,0.511,0.501,0.438,0.683,0.432,0.591,1.158,0.611,0.384,,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723
4996,Morocco,0.495,0.484,0.782,0.268,0.854,0.234,1.077,0.992,0.686,1.415,0.148,0.232,0.219,1.051,1.214,0.963,1.291,1.573,1.099,0.956,1.84,1.194,1.685,1.119,1.27,1.472,1.013,1.151,1.251,2.117,1.789,1.393,1.311,1.711
